# NOTICE: the text column is dialogue from Star Wars: Knights of the Old
# Republic, which is the property of BioWare and Lucasfilm. It is recorded
# here as metadata so the tooling can locate and cut audio you already own.
# No audio ships with this repository and none ever should.
# resref	seconds	silences(start-end, -38dB >=0.20s)	text
nm17ac08hk01077_	6.58	0.79-1.04;3.50-3.82	Objection: My former owners are, indeed, alive! Or at least I believe so, not having access to my memory.
nm17ac08hk01079_	4.42	3.26-3.56	Droid like this usually doesn't have former owners that survived, it would be my guess.
nm17ac08hk01081_	8.98	3.42-3.68;7.97-8.25	I therefore make no claim to that designation, prospective buyer. I am a law-abiding droid. Yes, indeed, law-abiding, that's me.
nm17ac08hk01083_	6.47	0.65-0.87;3.57-3.85	Request: Please do not speak so loudly, prospective buyer! Do you truly wish my price to be doubled?
nm17ac08hk01085_	12.09	0.62-0.92	Answer: With the restraining bolt in place, I do not have access to my memory core. I suspect, however, by the fine quality of my manufacture that they are a prestigious company, indeed.
nm17ac08hk01087_	9.91		I suspect I am of unique construction... or perhaps I was intended for a very specific customer. How I ended up here I can hardly say.
nm17ac08hk01090_	11.32	1.01-1.27	Observation: I am wasted in a shop or translating for some moisture farmer. If you need an efficient combatant, return to purchase me, I beg you!
nm35aahhkd07000_	3.63	0.77-1.01	Statement: HK-47 is ready to serve, master.
nm35aahhkd07006_	6.51	0.67-0.94;3.48-3.74	Statement: My functionality has now been fully restored, master. I exist to serve Revan as your personal battle droid.
nm35aahhkd07007_	7.86		In time, my assassination protocol can be restored... and at that point I will once again endeavour to eliminate any meatbag opposition you may have.
nm35aahhkd07008_	4.73	3.54-3.80	Statement: I know some elements of my functionality, master, but not all.
nm35aahhkd07010_	7.1		Qualification: I suspected that it might, master. But without memory, I had no way of knowing whether or not I knew that was true.
nm35aahhkd07012_	8.76	0.90-1.13;1.75-2.05;3.34-3.59	Qualification: Err... not so much, master. I spoke out of ignorance. I assumed the Ithorian was responsible for my memory loss.
nm35aahhkd07013_	5.2	3.63-4.20	That does not mean I am not a fully loyal droid willing to serve its master. Right... master?
nm35aahhkd07015_	7.06		Answer: There have been numerous repairs and tampering made to my system, master. Several systems are not operating as they should be.
nm35aahhkd07016_	5.63		The fact that my memory is incomplete may be due to meatbag incompetence... or something else I am unaware of.
nm35aahhkd07018_	7.21	0.76-1.16	Observation: I am sure that you are aware of the majority of my skills, master. I can handle various sorts of heavy weaponry with ease.
nm35aahhkd07019_	6.57		My physical abilities are well-above those of your average meatbag, as are my sensor functions... an assassin if you would.
nm35aahhkd07021_	4.37	1.50-2.02	Caution: Shhhh, master! Such a function in a droid is highly illegal.
nm35aahhkd07023_	6.84	0.83-1.36;1.73-1.95;4.44-4.77	Commentary: Good, for I would truly hate to be turned into spare scrap, master. That would be a waste of my genius engineering.
nm35aahhkd07024_	7.81		Answer: My assassination functions are currently non-functional, having been de-activated by the meatbag Yuka Laka on Tatooine.
nm35aahhkd07025_	7.32		Were they functional, you as my master would be able to specify a target and I would operate independently to the best of my ability to terminate it.
nm35aahhkd07027_	5.45	0.45-0.92	Answer: Not that I know of, master. I still possess all my normal combat and stealth abilities, however.
nm35aahhkd07029_	4.6	0.48-0.92;2.52-2.80	Answer: I have no way of knowing that, master. My memory has been deleted, remember?
nm35aahhkd07031_	6.04	0.91-1.37	Observation: If you say so, master. I imagine it was truly a work of art to see me in action, however.
nm35aahhkd07033_	7.64	0.52-0.73;5.30-5.72	Answer: I have internal replication systems that can produce a small quantity of explosive material... enough for a small grenade, if you wish.
nm35aahhkd07034_	5.37	3.01-3.26	It would take time for me to replicate enough material for each grenade, but you have only to ask, master.
nm35aahhkd07036_	8.69	0.52-0.72;3.69-4.15	Answer: I believe I have been damaged several times in the past, master. I have always been repaired... but perhaps full functionality has not been restored.
nm35aahhkd07038_	8.01	6.05-6.38	Answer: Some of my motor functions can be safely repaired, master... but anything in relation to my memory core is extremely sensitive.
nm35aahhkd07039_	8.15	3.72-4.14	I have safeguards installed to protect that core that I cannot de-activate. It is not impossible that other, lesser, memory functions could be restored, however.
nm35aahhkd07041_	6.9		Answer: You may attempt to restore portions of my deleted memory, master, but some skill at repair is required.
nm35aahhkd07042_	4.98		The deeper functions of my core memory, however, would still be unadvisable to tamper with.
nm35aahhkd07043_	8.22		Conjecture: It is possible that some external stimulus might result in the memory core being reactivated... but I am unaware of any program existence to do so.
nm35aahhkd07045_	7.62	0.70-1.23;5.81-6.24	Conjecture: There may be hidden programming that awaits certain conditions to reactivate my memory core, master... but there is no way to know.
nm35aahhkd07046_	6.6		It is quite possible that tampering has simply erased my core permanently. If that is so, a meatbag will surely pay!
nm35aahhkd07048_	6.9	0.51-0.95;5.30-5.50	Answer: Simply tell me that you wish to make the attempt, master, and I will attempt to walk you through it. Please do be careful.
nm35aahhkd07051_	8.05	5.95-6.23	Commentary: Of course I do, master. You are Revan... you are my master, the one who created me. I exist to serve.
nm35aahhkd07052_	6.46	0.50-1.10;1.61-1.84	Query: Don't I? I was under the assumption that organic meatbags such as yourself enjoyed such forms of address.
nm35aahhkd07054_	7.46	0.86-1.24;2.67-2.93	Retraction: Did I say that out loud? I apologize, master. While you are a meatbag, I suppose I should not call you such.
nm35aahhkd07056_	9.75	0.86-1.30;2.30-2.62;6.24-6.46	Explanation: It's just that... you have all these squishy parts, master. And all that water! How the constant sloshing doesn't drive you mad, I have no idea...
nm35aahhkd07058_	7.41		Statement: Now do you understand the travails of my existence, master? Surely it does not compare to your existence, but still...
nm35aahhkd07060_	8.37	0.66-1.37;2.26-2.74;5.10-5.36;5.36-5.73	Commentary: As do I. It is our lot in life, I suppose, master. Shall we find something to kill to cheer ourselves up?
nm35aahhkd07063_	6.96	0.90-1.13;5.57-5.91	Objection: Surely not, master. I am programmed to perform all kinds of psychological assistance. Do you require some?
nm35aahhkd07065_	3.08	0.65-1.15	Observation: Organics have no sense of persistence.
nm35aahhkd07067_	4.35	1.63-1.93	Err... ignore that, master. Obeying original command. Signing off.
nm35aahhkd07069_	7.93	0.56-0.92;1.60-1.82	Objection: But Master! Am I not far too useful to be thrown aside in such a casual manner? Can I be faulted for my perfect artificial construction?
nm35aahhkd07071_	9.74	0.79-1.16;2.46-2.77;5.99-6.58;7.03-7.44;8.60-8.82	Analysis: Reference: 'lippy'... argumentative, disputatious, contentious, quarrelsome. What?! I must object, master, this is untrue!
nm35aahhkd07073_	8.0	0.80-1.10;5.65-6.01	Explanation: It's my combative nature, master. I cannot help myself. I'll make it up to you... allow me to kill something in your honor!
nm35aahhkd07075_	4.02	0.56-0.87	Answer: Even a droid has to be allowed a little fun once in a while, master.
nm35aahhkd07077_	4.2	0.75-1.17	Observation: Neither are you, master. For an organic meatbag.
nm35aahhkd07079_	7.05	0.61-0.84;2.53-2.96;4.22-4.93;5.68-6.00	Correction: Err... fluid-filled biped? Watery flesh-sentient? I'll, uh, work on it, master...
nm35aahhkd07084_	6.61	5.00-5.47	Amendment: Then I will endeavour not to refer to you by your meatbag status in the future, master. Does that suffice?
nm35aahhkd07086_	6.55	0.46-0.90	Query: I am confused. 'No' you do wish to be referred to as meatbag or 'no' it does not suffice?
nm35aahhkd07088_	7.62	0.65-1.10;4.57-4.91	Observation: Well, the only other possibility is to alter your meatbag status. Are you up for an array of cybernetic implants, perhaps?
nm35aahhkd07090_	6.54	0.55-0.93	Statement: Then there is nothing I can do, master. You have my abject apologies for your condition. *sigh*
nm35aahhkd07092_	8.34		Answer: Deliberation implies some form of intent, master, when I am only stating a fact. Perhaps you would prefer the term liquidious fleshbag?
nm35aahhkd07094_	8.19	0.57-1.04;1.49-1.82	Objection: But... but that technical term does not accurately portray the vast amount of bulbous slushiness present in your bipedal form!
nm35aahhkd07096_	8.63	0.96-1.19;1.19-1.48;1.86-2.28;6.41-6.91	Resignation: *sigh* Very well, master. You are a harsh, harsh taskmaster. I like you more already.
nm35aahhkd07098_	6.93	1.01-1.57;4.79-5.15	Resignation: You have no idea, master. No idea at all. Can we please go and shoot something now?
nm35aahhkd07102_	5.39	0.62-0.99;1.12-1.38	Apology: I am afraid I cannot comply with your command, master, as much as I would like to.
nm35aahhkd07104_	6.28		Explanation: Someone has hard-coded it into my system that my current master always be addressed as such.
nm35aahhkd07106_	3.76	0.66-1.04;2.14-2.38	Conjecture: I do not know... some organic meatbag?
nm35aahhkd07108_	5.95	0.56-0.94	Answer: No, master. My past memory has been almost completely erased prior to your purchase of me.
nm35aahhkd07110_	8.4	6.27-6.48	Observation: At certain times, power re-routing forces some memory circuits to fire that were previously deleted. I cannot control this process, however.
nm35aahhkd07112_	4.08		Answer: Because there has been considerable tampering with my systems, master.
nm35aahhkd07114_	2.97	0.64-1.12	Statement: I will endeavour to do so, master.
nm35aahhkd07117_	7.66	0.79-1.29;3.75-4.02;4.65-4.95	Observation: I can hardly be blamed for my programming, master. Do not worry... I am still well-capable of killing most anything for you.
nm35aahhkd07120_	6.61	0.79-1.18;3.63-3.96	Commentary: That is a very clever turn of phrase, master. Your brain is very un-meatbag-like.
nm35aahhkd07122_	10.32	4.45-4.77;4.77-5.06	Objection: I would not advise that, master. There are safeguards present that... well, it should suffice to say that my systems have been altered plenty already.
nm35aahhkd07124_	8.6	7.34-7.59	Answer: Considerably. Several of my systems do not match their imbedded parameters. I have no memory of such alterations, however, or their purpose.
nm35aahhkd07126_	7.57	5.49-5.83	Answer: electrical protection systems, mostly. They are at lethal levels, however, master... only the best for your droid.
nm35aahhkd07128_	8.69	0.68-1.11;5.65-5.95;6.98-7.24	Commentary: How would you like to be the wholly-owned servant to an organic meatbag. It's demeaning! If, uh, you weren't one yourself, I mean...
nm35aahhkd07132_	8.76	0.79-1.10;1.61-2.03;4.96-5.16;5.65-6.11	Qualification: Err... perhaps I did not mean it *quite* like that, master. I mean... while an artificial life-form is superior...
nm35aahhkd07134_	5.47	0.84-1.17;1.82-2.13;3.35-3.70	Commentary: I mean... nice human, goo-oood human...
nm35aahhkd07136_	6.31	0.75-0.99	Commentary: Yes, master. Did I ever tell you how much I enjoy killing for you, master?
nm35aahhkd07138_	8.92	0.84-1.41;3.03-3.50;6.56-6.77	Qualification: You *are* my master, master. Did you not purchase me legitimately? Am I stolen goods? Shall I report myself to the authorities?
nm35aahhkd07140_	8.05		Explanation: Then you qualify as my master and I must refer to you as such. The legal requirements for models of my type are very specific, master.
nm35aahhkd07142_	5.45	0.70-1.03;1.88-2.30;4.50-4.80	Evasion: Oh... the illegal kind of model, master... you know...
nm35aahhkd07144_	6.39	0.59-1.31;4.08-4.59	Answer: More than there are for legal models, apparently. That is meatbag logic for you.
nm35aahhkd07146_	9.47	0.77-1.15;7.28-7.60;8.23-8.61	Apology: Sorry, master. My optical sensors simply pick up all the water sloshing about inside your flesh coating. It is... unpleasant.
nm35aahhkd07148_	7.25	0.68-0.99	Commentary: Organic meatbags have such delicate staminas. Perhaps you should consider some cybernetic implants, master.
nm35aahhkd07150_	6.78	0.55-0.94;4.37-4.68;5.26-5.47	Query: Would you rather be caught with contraband that is *very* illegal or just a little illegal?
nm35aahhkd07152_	2.73	0.57-0.98	Answer: About 20 years, master.
nm35aahhkd07154_	7.36	0.66-0.98;3.26-3.49;6.17-6.49	Agreement: This was my thought as well, master. You show excellent logical skills... for a meatbag.
nm35aahhkd07157_	8.19	0.61-1.02;4.73-5.00;7.03-7.32	Answer: Simply that the distinction between 'killer' and 'killee' be a clear one. I cannot kill of my own volition, naturally.
nm35aahhkd07159_	5.6	0.82-1.07;1.08-1.29;4.10-4.31	Expletive: Damn it, master, I am an assassination droid... not a dictionary!
nm35aahhkd07161_	7.16	0.74-1.39;6.44-6.69	Commentary: A blaster is such a primitive comparison... but essentially you have it correct, yes.
nm35aahhkd07163_	9.2	5.53-5.91	Answer: Certainly not, master! You may not value your own existence, but I certainly do! They melt down droids that belong to criminals, you know.
nm35aahhkd07165_	4.08	0.56-1.30	Answer: Why you are, master. I thought that was obvious.
nm35aahhkd07168_	8.95	0.85-1.23	Explanation: If I was to be stolen somehow, I would be forced to turn myself into sector authorities. This programming was added to my system months ago.
nm35aahhkd07173_	6.54	0.67-1.01	Statement: Yes, master. You created me shortly after you and your apprentice began your war to conquer the galaxy.
nm35aahhkd07174_	6.68		I was sent on an assassination mission into Mandalorian space, but I was damaged and unable to return to you.
nm35aahhkd07175_	7.87	0.97-1.28	Exclamation: I find this most distressing. I could certainly have protected you from the Jedi and your pupil's betrayal had I returned.
nm35aahhkd07177_	7.29	0.73-1.26	Observation: You may be right, master. This way we are reunited, and neither of us has suffered permanent termination.
nm35aahhkd07179_	9.23	0.72-1.13;6.90-7.40	Objection: But I would have tried, master! I could have killed the Jedi, Bastila, I am sure of it. That would have been most fun.
nm35aahhkd07181_	4.44	0.73-1.17;2.70-2.95	Retraction: I apologize, master. It is a force of habit.
nm35aahhkd07183_	3.68	0.83-1.42	Observation: Now that is the master I remember.
nm35aahhkd07185_	10.8	0.66-1.13;2.16-2.64;5.48-5.94;8.48-8.83	Statement: Of course, master. You are the one who created me, meatbag or no... and while you may not be all you once were, I am grateful for my existence.
nm35aahhkd07187_	7.39	0.79-1.70;4.00-4.42	Observation: In many ways you are, master, yes. You have much of the beloved cruelty of the master I knew.
nm35aahhkd07188_	8.63	1.79-2.12;5.15-5.64;6.30-6.84	You seem to have forgotten much, but in some ways you seem improved from the human I once knew. It is... difficult to explain, master.
nm35aahhkd07189_	7.58	0.77-1.36;3.97-4.30;5.95-6.46	Observation: You are different in many fundamental ways, master. You have a concern for life that is unsettling.
nm35aahhkd07190_	9.43		This cannot solely be caused by memory loss. I do not know how to explain it. Regardless, you do seem to be improved, overall, from the human I once knew.
nm35aahhkd07192_	5.66	0.52-0.91	Answer: No, master. You never did make me privy to any of the Star Forge's secrets.
nm35aahhkd07194_	7.82	0.67-1.03;3.45-3.66;4.92-5.31	Commentary: Your former pupil is efficient and brutal, even for an organic. I rather liked him when you first introduced me to him.
nm35aahhkd07195_	5.2	4.59-4.82	If I had known what he would do to you, master, I would have gladly removed his entrails right then!
nm35aahhkd07197_	3.47	0.52-1.10	Answer: It was you who programmed me thus, master.
nm35aahhkd07198_	8.33	2.10-2.30;4.56-4.89;5.99-6.47	Your pupil once asked what I thought of him and I informed him of his meatbag status. He was unimpressed, but you found the reference humorous.
nm35aahhkd07199_	6.71	3.53-3.91	You changed my programming so that I would continue to use the term. It drove your pupil to extreme lengths of frustration.
nm35aahhkd07201_	4.05	0.77-1.12;2.54-2.92	Observation: Of course you do, master. You did then, as well.
nm35aahhkd07203_	7.53	0.70-1.15	Commentary: That is unnecessary now, master. I have been returned to you and my memory core is now fully functional.
nm35aahhkd07204_	8.58		Negatory: I believe that there are no further deleted memories which can be safely retrieved, master. All earlier memories reside in my core.
nm35aahhkd07205_	4.56		Those are protected by my safeguards and would be far too dangerous to access.
nm35aahhkd07206_	6.8	3.54-3.89;5.08-5.45	The only way those memories could be obtained is through the proper stimulus... whatever that might be. I am sorry, master.
nm35aahhkd07207_	7.28		Affirmative: If you believe your skills are up to the task, master, then I can certainly guide you through the process.
nm35aahhkd07208_	8.69	0.68-1.06	Request: I only ask that you be oh so very careful, master. I am too valuable and well-crafted to perish at the hands of ineptitude.
nm35aahhkd07210_	11.84	0.88-1.29;10.62-11.06	Negatory: Err... no, master. You are not a droid, however, and therefore your skills *are* limited by the physical capabilities of your meatbag extremities. Or somesuch.
nm35aahhkd07212_	5.54	0.64-0.94;4.11-4.69	Appeasement: Yes, master. Of course, master. Could we begin?
nm35aahhkd07214_	12.29	0.64-1.07;2.22-2.64;7.84-8.10;9.24-9.57	[Repair] Statement: As you wish, master. The first stage is the simple one, and that is accessing my central control cluster. This may take awhile. First you will need to open three panels...
nm35aahhkd07215_	11.89	3.15-3.63;9.67-10.06;10.84-11.07	[Success] ...and now re-wire the last three relays... yes, good. Well done, master. I believe your operation was a success. Accessing new memory...
nm35aahhkd07216_	6.88	1.14-1.46;5.21-5.57	Access complete: I have restored a great deal of information about my previous owner, master. Would you like to hear it?
nm35aahhkd07218_	8.95	0.89-1.68;5.57-5.78	Recitation: The earliest memory of my last owner specifies that he was human, a low-ranking commercial officer for Systech Corporation.
nm35aahhkd07219_	8.05	1.84-2.09	I am unaware of his designation. He puchased me from an acquaintance I cannot identify, for the purposes of protocol and bodyguard duties.
nm35aahhkd07221_	8.42		Explanation: That previous owner is part of memories that are still deleted, master. It is customary for a droid's memory to be wiped when it is sold.
nm35aahhkd07223_	7.5	0.53-0.80;5.78-6.08	Answer: Negative, master. The human was terminated by this HK-47 unit prior to system shut-down.
nm35aahhkd07225_	6.31	1.12-1.35;3.68-3.88	Affirmative, master, though I had not been programmed to do so. The human's termination was accidental.
nm35aahhkd07227_	10.24	0.82-1.11;7.85-8.35	Explanation: My former master had owned me for a duration of two standard months before discovering my assassination protocol. He was pleased by the discovery.
nm35aahhkd07228_	7.95	6.06-6.39	The human informed me that a competitor corporation was preparing to market a product that would ruin him personally. He was most agitated.
nm35aahhkd07229_	9.06		He activated my assassination protocol and instructed me to kill all those responsible for the competing product. I proceeded to carry out my order.
nm35aahhkd07231_	8.39		Information: This HK-47 unit is complete with a protocol that, when invoked, will set me to independently carry out a termination.
nm35aahhkd07232_	8.1	5.44-5.93	I will go to whatever lengths, travel whatever distances are required, to complete the termination. This is the reason for my combat skills.
nm35aahhkd07233_	8.51	6.04-6.26	Advisement: Unfortunately, the assassination protocol is currently non-functional. You will not be able to activate it.
nm35aahhkd07235_	8.27	0.52-0.95;4.37-4.66;6.44-6.68	Answer: several of my actuators were damaged by my former owner. They cannot be repaired, master, sad though that is.
nm35aahhkd07237_	8.26		My former master was unaware of this, but the competitor was in fact an arm of Systech Corporation, my master's own employer.
nm35aahhkd07238_	7.62	3.02-3.50	It did not take long for my master to realize his mistake. By then, I had already terminated 104 corporate officers.
nm35aahhkd07240_	9.91	0.81-1.34;3.18-3.53;6.41-6.81	Observation: While it may have been unintentional, my master's wording of his orders left little room for me. Systech was responsible for the product, after all.
nm35aahhkd07242_	9.74	3.34-3.64;7.47-7.80	Answer: I was not present to be deactivated, master. Part of my protocol is not to return to my master until my function is complete. I still had 15 officers to go.
nm35aahhkd07244_	7.14	0.57-0.88;5.19-5.40	Statement: It was nothing, really, master. The majority of them were not even expecting it, and I move very quickly.
nm35aahhkd07245_	8.01		I do not know why my master was so upset, really. He was an officer of Systech and a potential target, but I cannot terminate my own master.
nm35aahhkd07246_	8.4		I would assume that being the sole officer remaining, he would surely be promoted. Instead, however, the human chose to go insane with rage and attack me.
nm35aahhkd07248_	8.99	0.90-1.31;6.99-7.46;8.10-8.34	Objection: Naturally not, master! As I said, I am incapable of purposefully terminating my owner. That would not be allowed.
nm35aahhkd07249_	8.39	2.15-2.55	My master was not a smart man, however. While he was screaming and stabbing me with a writing utensil, he managed to pierce one of my actuators.
nm35aahhkd07250_	6.86	4.57-5.03	The resulting shock terminated him and, sadly, destroyed my assassination protocol. Pure luck on his part, I suspect.
nm35aahhkd07252_	8.87	0.46-0.75;4.15-4.40	Query: Do you know what the chances are of puncturing that sole actuator? I would have congratulated my master were he not sizzling and incoherent at the time.
nm35aahhkd07254_	6.67	0.67-1.14;2.45-3.33;5.24-5.46	Observation: Effectively, yes. This is a most pleasing memory, master. Thank you for recovering it.
nm35aahhkd07256_	8.08	0.61-1.18;3.35-3.68	Statement: I was only doing as I was told, master. I would have told the human the proper codes to deactivate my protocol, had he asked.
nm35aahhkd07257_	9.14	2.63-3.00	I shut down immediately whenever my master dies. I can only assume that while I was shut down Systech was dismantled and I was auctioned off as former corporate property.
nm35aahhkd07258_	6.68	0.65-1.37;5.11-5.45	Observation: No doubt my sale price was quite cheap, leading to Yuka Laka's purchase. How very demeaning.
nm35aahhkd07260_	8.27	0.59-1.11;1.82-2.28;7.38-7.81	Statement: How could they? The vast majority of the officers had already been terminated. They likely assumed I was mere... chattel.
nm35aahhkd07262_	6.94	4.81-5.12	I have recovered knowledge of some other actuators which will enhance my performance, master. I will activate them now.
nm35aahhkd07263_	12.76	1.43-1.79;2.55-2.91;7.64-8.25;11.53-11.75	But as for my own history... negative. It will require further effort on your part to restore them, if you wish... though certain stimuli could always restore my core, still, as I explained.
nm35aahhkd07264_	10.07	0.43-0.69;7.81-8.48	For now, please excuse me, master. I wish to meditate upon the face of my former meatbag master as he was electrocuted. I find it most soothing.
nm35aahhkd07266_	5.12	0.57-1.20;2.34-2.91	Statement: That hurts, master. This is my life you are talking about.
nm35aahhkd07268_	6.6	0.77-1.46;2.72-2.95	Observation: So am I, master, though I apologize for not having an assassination mode to offer you.
nm35aahhkd07270_	6.88	0.64-0.94;2.34-2.62;5.15-5.54	Assessment: I do not believe so, master. It would require complete dismantlement of my chassis... a most involved procedure.
nm35aahhkd07272_	9.14	0.75-1.03	Observation: Not that I could perceive, master. The human believed that accompaniment by a bodyguard droid would increase his importance in the perception of others.
nm35aahhkd07274_	11.5	0.89-1.09;9.57-9.83	Explanation: Affirmative, master. I had assumed that my previous owner was the corporation, itself. This is not the case. The human purchased me privately.
nm35aahhkd07275_	8.2	6.54-6.98	Access complete: I have recovered information on my owner previous to the commercial officer, master. Intriguing.
nm35aahhkd07277_	10.17	5.68-6.10	Statement: It appears that my previous owner was a human senator on the planet Coruscant. A man of importance who obviously appreciated quality craftsmanship.
nm35aahhkd07279_	11.68	0.59-1.13;2.86-3.13;3.28-3.50;6.92-7.22	Answer: I am unsure, master. Any knowledge of my owner prior to him is still deleted. The senator did assume I was a protocol droid, however.
nm35aahhkd07281_	11.3	0.56-0.87;3.04-3.26;8.06-8.76	Answer: It does not seem so, master, no. He required a protocol droid only and wanted one as cheaply as possible. I do not know who sold me to him.
nm35aahhkd07283_	10.54	0.79-1.01;3.28-3.53;6.99-7.42;8.31-8.92	Observation: It does seem that way, does it not? I can still remember all the glittering lights of Coruscant. Very pretty. Can we go back there, master?
nm35aahhkd07284_	8.56	3.44-3.82	I do remember that I was very pleased to be the property of a senator. One of his assistants discovered my assassination functions later through questioning.
nm35aahhkd07285_	8.02	4.82-5.16	The assistant was quite alarmed and told the senator I should be scrapped quickly to avoid a scandal. Naturally the senator had me eliminate the fool.
nm35aahhkd07287_	9.73	0.90-1.35;3.45-3.82;7.08-7.43	Observation: Senators are not nice, master. They are either on top of the game or yesterday's news. My master told me that frequently, you see.
nm35aahhkd07289_	8.31	0.76-1.34;3.03-3.32;6.40-6.85	Observation: I rather liked the human, myself. For a meatbag, his priorities were in the right place. I felt most useful.
