# NOTICE: the text column is dialogue from Star Wars: Knights of the Old
# Republic, which is the property of BioWare and Lucasfilm. It is recorded
# here as metadata so the tooling can locate and cut audio you already own.
# No audio ships with this repository and none ever should.
# resref	seconds	text  (291 HK-47 clips, durations measured)
nm35aahhkd07094_	8.19	Objection: But... but that technical term does not accurately portray the vast amount of bulbous slushiness present in your bipedal form!
nm35aahhkd07096_	8.63	Resignation: *sigh* Very well, master. You are a harsh, harsh taskmaster. I like you more already.
nm35aahhkd07098_	6.93	Resignation: You have no idea, master. No idea at all. Can we please go and shoot something now?
nm35aahhkd07102_	5.39	Apology: I am afraid I cannot comply with your command, master, as much as I would like to.
nm35aahhkd07104_	6.28	Explanation: Someone has hard-coded it into my system that my current master always be addressed as such.
nm35aahhkd07106_	3.76	Conjecture: I do not know... some organic meatbag?
nm35aahhkd07108_	5.95	Answer: No, master. My past memory has been almost completely erased prior to your purchase of me.
nm35aahhkd07110_	8.4	Observation: At certain times, power re-routing forces some memory circuits to fire that were previously deleted. I cannot control this process, however.
nm35aahhkd07112_	4.08	Answer: Because there has been considerable tampering with my systems, master.
nm35aahhkd07114_	2.97	Statement: I will endeavour to do so, master.
nm35aahhkd07117_	7.66	Observation: I can hardly be blamed for my programming, master. Do not worry... I am still well-capable of killing most anything for you.
nm35aahhkd07120_	6.61	Commentary: That is a very clever turn of phrase, master. Your brain is very un-meatbag-like.
nm35aahhkd07122_	10.32	Objection: I would not advise that, master. There are safeguards present that... well, it should suffice to say that my systems have been altered plenty already.
nm35aahhkd07124_	8.6	Answer: Considerably. Several of my systems do not match their imbedded parameters. I have no memory of such alterations, however, or their purpose.
nm35aahhkd07126_	7.57	Answer: electrical protection systems, mostly. They are at lethal levels, however, master... only the best for your droid.
nm35aahhkd07128_	8.69	Commentary: How would you like to be the wholly-owned servant to an organic meatbag. It's demeaning! If, uh, you weren't one yourself, I mean...
nm35aahhkd07132_	8.76	Qualification: Err... perhaps I did not mean it *quite* like that, master. I mean... while an artificial life-form is superior...
nm35aahhkd07134_	5.47	Commentary: I mean... nice human, goo-oood human...
nm35aahhkd07136_	6.31	Commentary: Yes, master. Did I ever tell you how much I enjoy killing for you, master?
nm35aahhkd07138_	8.92	Qualification: You *are* my master, master. Did you not purchase me legitimately? Am I stolen goods? Shall I report myself to the authorities?
nm35aahhkd07140_	8.05	Explanation: Then you qualify as my master and I must refer to you as such. The legal requirements for models of my type are very specific, master.
nm35aahhkd07142_	5.45	Evasion: Oh... the illegal kind of model, master... you know...
nm35aahhkd07144_	6.39	Answer: More than there are for legal models, apparently. That is meatbag logic for you.
nm35aahhkd07146_	9.47	Apology: Sorry, master. My optical sensors simply pick up all the water sloshing about inside your flesh coating. It is... unpleasant.
nm35aahhkd07148_	7.25	Commentary: Organic meatbags have such delicate staminas. Perhaps you should consider some cybernetic implants, master.
nm35aahhkd07150_	6.78	Query: Would you rather be caught with contraband that is *very* illegal or just a little illegal?
nm35aahhkd07152_	2.73	Answer: About 20 years, master.
nm35aahhkd07154_	7.36	Agreement: This was my thought as well, master. You show excellent logical skills... for a meatbag.
nm35aahhkd07157_	8.19	Answer: Simply that the distinction between 'killer' and 'killee' be a clear one. I cannot kill of my own volition, naturally.
nm35aahhkd07159_	5.6	Expletive: Damn it, master, I am an assassination droid... not a dictionary!
nm35aahhkd07161_	7.16	Commentary: A blaster is such a primitive comparison... but essentially you have it correct, yes.
nm35aahhkd07163_	9.2	Answer: Certainly not, master! You may not value your own existence, but I certainly do! They melt down droids that belong to criminals, you know.
nm35aahhkd07165_	4.08	Answer: Why you are, master. I thought that was obvious.
nm35aahhkd07168_	8.95	Explanation: If I was to be stolen somehow, I would be forced to turn myself into sector authorities. This programming was added to my system months ago.
nm35aahhkd07173_	6.54	Statement: Yes, master. You created me shortly after you and your apprentice began your war to conquer the galaxy.
nm35aahhkd07174_	6.68	I was sent on an assassination mission into Mandalorian space, but I was damaged and unable to return to you.
nm35aahhkd07175_	7.87	Exclamation: I find this most distressing. I could certainly have protected you from the Jedi and your pupil's betrayal had I returned.
nm35aahhkd07177_	7.29	Observation: You may be right, master. This way we are reunited, and neither of us has suffered permanent termination.
nm35aahhkd07179_	9.23	Objection: But I would have tried, master! I could have killed the Jedi, Bastila, I am sure of it. That would have been most fun.
nm35aahhkd07181_	4.44	Retraction: I apologize, master. It is a force of habit.
nm35aahhkd07183_	3.68	Observation: Now that is the master I remember.
nm35aahhkd07185_	10.8	Statement: Of course, master. You are the one who created me, meatbag or no... and while you may not be all you once were, I am grateful for my existence.
nm35aahhkd07187_	7.39	Observation: In many ways you are, master, yes. You have much of the beloved cruelty of the master I knew.
nm35aahhkd07188_	8.63	You seem to have forgotten much, but in some ways you seem improved from the human I once knew. It is... difficult to explain, master.
nm35aahhkd07189_	7.58	Observation: You are different in many fundamental ways, master. You have a concern for life that is unsettling.
nm35aahhkd07190_	9.43	This cannot solely be caused by memory loss. I do not know how to explain it. Regardless, you do seem to be improved, overall, from the human I once knew.
nm35aahhkd07192_	5.66	Answer: No, master. You never did make me privy to any of the Star Forge's secrets.
nm35aahhkd07194_	7.82	Commentary: Your former pupil is efficient and brutal, even for an organic. I rather liked him when you first introduced me to him.
nm35aahhkd07195_	5.2	If I had known what he would do to you, master, I would have gladly removed his entrails right then!
nm35aahhkd07197_	3.47	Answer: It was you who programmed me thus, master.
nm35aahhkd07198_	8.33	Your pupil once asked what I thought of him and I informed him of his meatbag status. He was unimpressed, but you found the reference humorous.
nm35aahhkd07199_	6.71	You changed my programming so that I would continue to use the term. It drove your pupil to extreme lengths of frustration.
nm35aahhkd07201_	4.05	Observation: Of course you do, master. You did then, as well.
nm35aahhkd07203_	7.53	Commentary: That is unnecessary now, master. I have been returned to you and my memory core is now fully functional.
nm35aahhkd07204_	8.58	Negatory: I believe that there are no further deleted memories which can be safely retrieved, master. All earlier memories reside in my core.
nm35aahhkd07205_	4.56	Those are protected by my safeguards and would be far too dangerous to access.
nm35aahhkd07206_	6.8	The only way those memories could be obtained is through the proper stimulus... whatever that might be. I am sorry, master.
nm35aahhkd07207_	7.28	Affirmative: If you believe your skills are up to the task, master, then I can certainly guide you through the process.
nm35aahhkd07208_	8.69	Request: I only ask that you be oh so very careful, master. I am too valuable and well-crafted to perish at the hands of ineptitude.
nm35aahhkd07210_	11.84	Negatory: Err... no, master. You are not a droid, however, and therefore your skills *are* limited by the physical capabilities of your meatbag extremities. Or somesuch.
nm35aahhkd07212_	5.54	Appeasement: Yes, master. Of course, master. Could we begin?
nm35aahhkd07214_	12.29	[Repair] Statement: As you wish, master. The first stage is the simple one, and that is accessing my central control cluster. This may take awhile. First you will need to open three panels...
nm35aahhkd07215_	11.89	[Success] ...and now re-wire the last three relays... yes, good. Well done, master. I believe your operation was a success. Accessing new memory...
nm35aahhkd07216_	6.88	Access complete: I have restored a great deal of information about my previous owner, master. Would you like to hear it?
nm35aahhkd07218_	8.95	Recitation: The earliest memory of my last owner specifies that he was human, a low-ranking commercial officer for Systech Corporation.
nm35aahhkd07219_	8.05	I am unaware of his designation. He puchased me from an acquaintance I cannot identify, for the purposes of protocol and bodyguard duties.
nm35aahhkd07221_	8.42	Explanation: That previous owner is part of memories that are still deleted, master. It is customary for a droid's memory to be wiped when it is sold.
nm35aahhkd07223_	7.5	Answer: Negative, master. The human was terminated by this HK-47 unit prior to system shut-down.
nm35aahhkd07225_	6.31	Affirmative, master, though I had not been programmed to do so. The human's termination was accidental.
nm35aahhkd07227_	10.24	Explanation: My former master had owned me for a duration of two standard months before discovering my assassination protocol. He was pleased by the discovery.
nm35aahhkd07228_	7.95	The human informed me that a competitor corporation was preparing to market a product that would ruin him personally. He was most agitated.
nm35aahhkd07229_	9.06	He activated my assassination protocol and instructed me to kill all those responsible for the competing product. I proceeded to carry out my order.
nm35aahhkd07231_	8.39	Information: This HK-47 unit is complete with a protocol that, when invoked, will set me to independently carry out a termination.
nm35aahhkd07232_	8.1	I will go to whatever lengths, travel whatever distances are required, to complete the termination. This is the reason for my combat skills.
nm35aahhkd07233_	8.51	Advisement: Unfortunately, the assassination protocol is currently non-functional. You will not be able to activate it.
nm35aahhkd07235_	8.27	Answer: several of my actuators were damaged by my former owner. They cannot be repaired, master, sad though that is.
nm35aahhkd07237_	8.26	My former master was unaware of this, but the competitor was in fact an arm of Systech Corporation, my master's own employer.
nm35aahhkd07238_	7.62	It did not take long for my master to realize his mistake. By then, I had already terminated 104 corporate officers.
nm35aahhkd07240_	9.91	Observation: While it may have been unintentional, my master's wording of his orders left little room for me. Systech was responsible for the product, after all.
nm35aahhkd07242_	9.74	Answer: I was not present to be deactivated, master. Part of my protocol is not to return to my master until my function is complete. I still had 15 officers to go.
nm35aahhkd07244_	7.14	Statement: It was nothing, really, master. The majority of them were not even expecting it, and I move very quickly.
nm35aahhkd07245_	8.01	I do not know why my master was so upset, really. He was an officer of Systech and a potential target, but I cannot terminate my own master.
nm35aahhkd07246_	8.4	I would assume that being the sole officer remaining, he would surely be promoted. Instead, however, the human chose to go insane with rage and attack me.
nm35aahhkd07248_	8.99	Objection: Naturally not, master! As I said, I am incapable of purposefully terminating my owner. That would not be allowed.
nm35aahhkd07249_	8.39	My master was not a smart man, however. While he was screaming and stabbing me with a writing utensil, he managed to pierce one of my actuators.
nm35aahhkd07250_	6.86	The resulting shock terminated him and, sadly, destroyed my assassination protocol. Pure luck on his part, I suspect.
nm35aahhkd07252_	8.87	Query: Do you know what the chances are of puncturing that sole actuator? I would have congratulated my master were he not sizzling and incoherent at the time.
nm35aahhkd07254_	6.67	Observation: Effectively, yes. This is a most pleasing memory, master. Thank you for recovering it.
nm35aahhkd07256_	8.08	Statement: I was only doing as I was told, master. I would have told the human the proper codes to deactivate my protocol, had he asked.
nm35aahhkd07257_	9.14	I shut down immediately whenever my master dies. I can only assume that while I was shut down Systech was dismantled and I was auctioned off as former corporate property.
nm35aahhkd07258_	6.68	Observation: No doubt my sale price was quite cheap, leading to Yuka Laka's purchase. How very demeaning.
nm35aahhkd07260_	8.27	Statement: How could they? The vast majority of the officers had already been terminated. They likely assumed I was mere... chattel.
nm35aahhkd07262_	6.94	I have recovered knowledge of some other actuators which will enhance my performance, master. I will activate them now.
nm35aahhkd07263_	12.76	But as for my own history... negative. It will require further effort on your part to restore them, if you wish... though certain stimuli could always restore my core, still, as I explained.
nm35aahhkd07264_	10.07	For now, please excuse me, master. I wish to meditate upon the face of my former meatbag master as he was electrocuted. I find it most soothing.
nm35aahhkd07266_	5.12	Statement: That hurts, master. This is my life you are talking about.
nm35aahhkd07268_	6.6	Observation: So am I, master, though I apologize for not having an assassination mode to offer you.
nm35aahhkd07270_	6.88	Assessment: I do not believe so, master. It would require complete dismantlement of my chassis... a most involved procedure.
nm35aahhkd07272_	9.14	Observation: Not that I could perceive, master. The human believed that accompaniment by a bodyguard droid would increase his importance in the perception of others.
nm35aahhkd07274_	11.5	Explanation: Affirmative, master. I had assumed that my previous owner was the corporation, itself. This is not the case. The human purchased me privately.
nm35aahhkd07275_	8.2	Access complete: I have recovered information on my owner previous to the commercial officer, master. Intriguing.
nm35aahhkd07277_	10.17	Statement: It appears that my previous owner was a human senator on the planet Coruscant. A man of importance who obviously appreciated quality craftsmanship.
nm35aahhkd07279_	11.68	Answer: I am unsure, master. Any knowledge of my owner prior to him is still deleted. The senator did assume I was a protocol droid, however.
nm35aahhkd07281_	11.3	Answer: It does not seem so, master, no. He required a protocol droid only and wanted one as cheaply as possible. I do not know who sold me to him.
nm35aahhkd07283_	10.54	Observation: It does seem that way, does it not? I can still remember all the glittering lights of Coruscant. Very pretty. Can we go back there, master?
nm35aahhkd07284_	8.56	I do remember that I was very pleased to be the property of a senator. One of his assistants discovered my assassination functions later through questioning.
nm35aahhkd07285_	8.02	The assistant was quite alarmed and told the senator I should be scrapped quickly to avoid a scandal. Naturally the senator had me eliminate the fool.
nm35aahhkd07287_	9.73	Observation: Senators are not nice, master. They are either on top of the game or yesterday's news. My master told me that frequently, you see.
nm35aahhkd07289_	8.31	Observation: I rather liked the human, myself. For a meatbag, his priorities were in the right place. I felt most useful.
nm35aahhkd07291_	8.47	Answer: Unfortunately so, master. While he lived, however, I maintained a most useful existence.
nm35aahhkd07292_	8.26	I was most proud to have partaken in the political system of the galaxy. During the time my owner possessed me, he gained significant rank.
nm35aahhkd07293_	8.69	Given time, I believe he could have become Chancellor. I even eliminated a few key opponents that he did not ask for... freebies, if you will.
nm35aahhkd07295_	10.1	Answer: Certainly. Why not? I am an intelligent droid, you know. I see an opportunity and I take it... and my master was most pleased with my work.
nm35aahhkd07296_	9.28	Observation: I think he would have done far better had he not allowed his use of me to become personal. He set me on his wife.
nm35aahhkd07298_	9.09	Answer: I am unsure. The human was most agitated and angry. I believe his wife had done something that had displeased him greatly.
nm35aahhkd07299_	6.53	I was to go to their summer estate and terminate his wife... along with whatever male companion I discovered there.
nm35aahhkd07301_	9.9	Statement: I have no idea, master. Cheating seems to be a relevant term only when one is caught in the act. Otherwise it is viewed as intelligence, no?
nm35aahhkd07303_	11.31	Observation: I *am* a droid, master, with programming. Even if I did not enjoy killing, I would have no choice. Thankfully I enjoy it very much.
nm35aahhkd07305_	8.55	I journeyed to the southern continent, but it appeared my master was not far behind me. Apparently he regretted his activation of the protocol.
nm35aahhkd07306_	8.45	When I found the wife and her companion, I proceeded to launch my attack... but my master interposed his own body and was destroyed.
nm35aahhkd07307_	6.42	It was rather a strange meatbag thing to do, do you not agree? Naturally I shut myself down, my master being terminated.
nm35aahhkd07309_	4.99	Observation: Only so far, master. There are still more memories not recovered, remember?
nm35aahhkd07311_	7.48	Answer: As previously, I have found a few more programs which will enhance my performance. A most gratifying discovery, in fact.
nm35aahhkd07312_	5.52	There is still nothing from previous memories uncovered. You will have to operate again if you desire to find them.
nm35aahhkd07313_	8.62	With luck, I will discover the stimulus to unlock my core and all this will be unnecessary. I do thank you for the attempt, however, master.
nm35aahhkd07315_	10.62	Statement: I believe the senator's wife was unsure what I was or what to do with me. It was she who sold me to the corporate officer, an acquaintance.
nm35aahhkd07317_	7.8	Observation: I find that unlikely. Perhaps he was more concerned that the death of his wife would be more likely traced back to him.
nm35aahhkd07319_	7.49	Answer: There are a *lot* of politicians on Coruscant, master. I could spend decades slaughtering them and still not make a dent.
nm35aahhkd07320_	9.45	And it is not as if I walked into the Senate chambers with a carbonite explosive. I was very discrete. My best work to date... that I can remember.
nm35aahhkd07322_	8.52	Access complete: I have accessed information on my owner prior to the senator, master. Most... unexpected.
nm35aahhkd07324_	8.78	Answer: It appears that previous to my ownership by the senator, I was the property of one Bochaba the Hutt on the planet Sleheyron.
nm35aahhkd07326_	10.56	Objection: That is unfair, master. While Bochaba may have died gruesomely, I most certainly had nothing to do with it. Well... very little.
nm35aahhkd07328_	5.81	Statement: So it appears, master. A rather suitable occupation, would you not agree?
nm35aahhkd07330_	7.95	Answer: It does not appear so. Or, at least, Bochaba was not my first owner. He purchased me from somewhere else.
nm35aahhkd07331_	9.87	Hmm. My memories tell me that, for a time, Bochaba was one of the most feared gangsters on Sleheyron. I helped him with this reputation greatly.
nm35aahhkd07332_	8.95	Over a span of one year, I terminated a grand total of 322 sentient meatbags. These contracts made Bochoba very wealthy.
nm35aahhkd07334_	8.7	It was unfortunate but inevitable that eventually Bochaba would overstep his bounds. I had just cleared two Hutt households when the Exchange retaliated.
nm35aahhkd07335_	9.01	Statement: I was not even present when my old master was assassinated. I did appreciate the artistry behind his demise upon my return, however.
nm35aahhkd07337_	8.69	Answer: Allow me to say that I have little doubt that residents of that sector were fishing pieces of Bochaba out of their soup for weeks afterward.
nm35aahhkd07339_	11.05	Observation: According to your own meatbag values, was my master not a heartless gangster and murderer? I will mourn you when you perish, master.
nm35aahhkd07341_	7.38	Amendment: *If* you perish. So far I am three out of three, remember, through little fault of my own.
nm35aahhkd07343_	8.12	Observation: Indeed. Perhaps it is better that my assassination function is inoperable, master, yes?
nm35aahhkd07345_	11.12	I am like a veritable fable, warning against the karma caused by murdering others. A morality tale, if you will. What utter irony.
nm35aahhkd07346_	8.22	At any rate, I quickly shut down upon my master's death. The rival Hutt claimed me along with my master's other possessions.
nm35aahhkd07347_	8.96	Observation: If that Hutt had only known my true function, he surely would not have sold me to a senator he bribed regularly.
nm35aahhkd07349_	9.3	Observation: It would have suited my character, master. I have enjoyed my existence since, more or less, so I do not miss it.
nm35aahhkd07351_	7.4	Answer: Negative, master. There is still more memory that can be restored, however, if you wish to try.
nm35aahhkd07352_	8.83	As well, I believe I can restore several programs the Hutt installed to improve my performance. Yesss... they are now active.
nm35aahhkd07353_	10.13	Contemplative: I wonder how many more dead masters I might have out there. A droid can live for a long time, you know.
nm35aahhkd07355_	10.38	Observation: No doubt, master. It would have been a glorious battle to end my existence with. I would prefer that to rusting on a junk heap.
nm35aahhkd07357_	9.63	Supplication: Please, master, have I not pleased you? I cannot control the acts I have performed... perhaps that is why memory is erased?
nm35aahhkd07358_	7.95	At any rate, I act only as you instruct me... even if that means being... *gulp* ...non-violent.
nm35aahhkd07360_	5.46	Affirmation: HK-47 exists only to serve, master.
nm35aahhkd07363_	10.96	Statement: Should I, master? I had no reason to terminate those targets, it was not my decision. I am the weapon, not the wielder.
nm35aahhkd07365_	9.4	Answer: That is correct, master. I do enjoy my work, though my past owners have enjoyed utilizing my functions far more.
nm35aahhkd07366_	7.29	Strictly speaking, one meatbag is the same as another. Anything I do is in support of my master.
